Date,Home,Result,Away
2014-11-09,HÜJK Emmaste,1:1,JK Sillamäe Kalev U21
2014-09-12,Ida-Virumaa FC Alliance,1:2,Maardu FC Starbunker
2014-09-12,Tartu FC Santos,0:1,Tallinna FC Infonet II
2014-09-14,HÜJK Emmaste,3:2,Tallinna FC Ararat
2014-09-14,Tallinna JK Legion,0:6,JK Sillamäe Kalev U21
2014-09-14,FC Elva,1:3,Tallinna FC Flora III
2014-10-16,Tallinna FC Ararat,6:0,Tallinna JK Legion
2014-09-17,Tallinna FC Infonet II,3:0,Ida-Virumaa FC Alliance
2014-09-17,Maardu FC Starbunker,0:1,FC Elva
2014-09-17,Tallinna FC Ararat,1:5,JK Sillamäe Kalev U21
2014-10-17,HÜJK Emmaste,4:2,Tallinna FC Flora III
2014-09-18,Tartu FC Santos,13:1,HÜJK Emmaste
2014-09-18,Tallinna FC Flora III,4:1,Tallinna JK Legion
2014-10-19,Tartu FC Santos,10:0,FC Elva
2014-10-19,Ida-Virumaa FC Alliance,5:0,JK Sillamäe Kalev U21
2014-10-19,Tallinna FC Infonet II,9:3,Maardu FC Starbunker
2014-09-21,JK Sillamäe Kalev U21,2:0,Tallinna FC Flora III
2014-09-21,Tallinna JK Legion,5:1,Maardu FC Starbunker
2014-09-21,Ida-Virumaa FC Alliance,3:0,HÜJK Emmaste
2014-09-21,FC Elva,0:3,Tallinna FC Infonet II
2014-09-22,Tartu FC Santos,6:0,Tallinna FC Ararat
2014-10-22,Tallinna JK Legion,2:3,Tartu FC Santos
2014-10-23,Tallinna FC Flora III,1:3,Tallinna FC Ararat
2014-10-26,Maardu FC Starbunker,0:1,HÜJK Emmaste
2014-10-26,FC Elva,4:0,Ida-Virumaa FC Alliance
2014-10-26,JK Sillamäe Kalev U21,1:2,Tallinna FC Infonet II
2014-09-27,Maardu FC Starbunker,1:2,Tallinna FC Flora III
2014-09-28,Tallinna FC Infonet II,8:1,Tallinna JK Legion
2014-09-28,FC Elva,3:1,HÜJK Emmaste
2014-09-28,Tallinna FC Ararat,3:0,Ida-Virumaa FC Alliance
2014-09-28,Tartu FC Santos,12:2,JK Sillamäe Kalev U21
2014-10-31,HÜJK Emmaste,2:5,Tallinna FC Infonet II
2014-10-31,Tartu FC Santos,6:0,Tallinna FC Flora III
