Date,Home,Result,Away
2022-09-04,Pärnu Jalgpalliklubi,1:3,Paide Linnameeskond U21
2022-09-04,FC Nõmme United,4:1,Harju JK Laagri
2022-09-05,Tallinna FCI Levadia U21,0:3,Tallinna FC Flora U21
2022-09-10,Viljandi JK Tulevik,0:7,FC Nõmme United
2022-09-10,Tallinna FC Flora U21,6:0,Pärnu Jalgpalliklubi
2022-09-10,Viimsi JK,1:0,Tallinna FCI Levadia U21
2022-09-11,Paide Linnameeskond U21,2:4,Harju JK Laagri
2022-09-12,Ida-Virumaa FC Alliance,1:3,FC Elva
2022-09-17,Pärnu Jalgpalliklubi,6:0,Ida-Virumaa FC Alliance
2022-09-17,Tallinna FCI Levadia U21,3:2,Viljandi JK Tulevik
2022-09-17,FC Elva,9:1,Paide Linnameeskond U21
2022-09-18,FC Nõmme United,3:2,Tallinna FC Flora U21
2022-09-18,Harju JK Laagri,1:0,Viimsi JK
2022-10-01,Viljandi JK Tulevik,2:4,Paide Linnameeskond U21
2022-10-01,Harju JK Laagri,1:0,FC Elva
2022-10-02,Tallinna FC Flora U21,8:0,Ida-Virumaa FC Alliance
2022-10-03,Viimsi JK,0:2,FC Nõmme United
2022-10-03,Pärnu Jalgpalliklubi,2:1,Tallinna FCI Levadia U21
2022-10-08,FC Nõmme United,2:0,FC Elva
2022-10-08,Paide Linnameeskond U21,0:2,Pärnu Jalgpalliklubi
2022-10-08,Viimsi JK,0:1,Tallinna FC Flora U21
2022-10-09,Tallinna FCI Levadia U21,3:0,Harju JK Laagri
2022-10-10,Ida-Virumaa FC Alliance,0:2,Viljandi JK Tulevik
2022-10-15,Viljandi JK Tulevik,0:4,Tallinna FC Flora U21
2022-10-15,Ida-Virumaa FC Alliance,0:3,Harju JK Laagri
2022-10-16,Paide Linnameeskond U21,1:3,Viimsi JK
2022-10-16,FC Nõmme United,0:2,Tallinna FCI Levadia U21
2022-10-17,FC Elva,3:2,Pärnu Jalgpalliklubi
2022-10-22,Tallinna FCI Levadia U21,4:0,Ida-Virumaa FC Alliance
2022-10-22,Harju JK Laagri,5:1,FC Nõmme United
2022-10-24,Pärnu Jalgpalliklubi,1:3,Viljandi JK Tulevik
2022-10-24,Viimsi JK,4:1,FC Elva
2022-10-24,Tallinna FC Flora U21,1:1,Paide Linnameeskond U21
2022-10-29,Viljandi JK Tulevik,0:5,Harju JK Laagri
2022-10-29,FC Nõmme United,4:1,Ida-Virumaa FC Alliance
2022-10-29,FC Elva,1:1,Tallinna FC Flora U21
2022-10-30,Pärnu Jalgpalliklubi,1:7,Viimsi JK
2022-10-31,Tallinna FCI Levadia U21,5:0,Paide Linnameeskond U21
2022-11-05,Viljandi JK Tulevik,0:1,FC Elva
2022-11-05,Paide Linnameeskond U21,0:5,FC Nõmme United
2022-11-05,Ida-Virumaa FC Alliance,0:3,Viimsi JK
2022-11-06,Tallinna FC Flora U21,1:2,Tallinna FCI Levadia U21
2022-11-07,Harju JK Laagri,4:0,Pärnu Jalgpalliklubi
2022-11-13,Pärnu Jalgpalliklubi,0:2,FC Nõmme United
2022-11-13,Paide Linnameeskond U21,1:4,Ida-Virumaa FC Alliance
2022-11-13,Tallinna FC Flora U21,3:5,Harju JK Laagri
2022-11-13,FC Elva,3:1,Tallinna FCI Levadia U21
2022-11-13,Viimsi JK,3:0,Viljandi JK Tulevik
