Date,Home,Result,Away
2025-09-14,Paide Linnameeskond,1:1,Nõmme Kalju FC
2025-09-14,JK Narva Trans,1:3,Harju JK Laagri
2025-09-16,Tartu JK Tammeka,1:4,Pärnu JK Vaprus
2025-09-17,Harju JK Laagri,2:1,FC Kuressaare
2025-09-17,Tallinna FCI Levadia,1:3,Tallinna FC Flora
2025-09-17,JK Tallinna Kalev,0:3,Paide Linnameeskond
2025-09-17,JK Narva Trans,0:0,Nõmme Kalju FC
2025-09-20,FC Kuressaare,0:0,JK Narva Trans
2025-09-20,Harju JK Laagri,3:0,Paide Linnameeskond
2025-09-20,Tallinna FC Flora,2:1,Tartu JK Tammeka
2025-09-21,Nõmme Kalju FC,2:1,Tallinna FCI Levadia
2025-09-21,Pärnu JK Vaprus,1:0,JK Tallinna Kalev
2025-09-26,Tartu JK Tammeka,0:1,FC Kuressaare
2025-09-27,Harju JK Laagri,1:2,Pärnu JK Vaprus
2025-09-27,JK Narva Trans,2:3,Paide Linnameeskond
2025-09-28,Nõmme Kalju FC,3:1,Tallinna FC Flora
2025-09-28,Tallinna FCI Levadia,3:1,JK Tallinna Kalev
2025-10-04,Harju JK Laagri,1:2,Tallinna FC Flora
2025-10-04,FC Kuressaare,1:1,Paide Linnameeskond
2025-10-04,JK Tallinna Kalev,1:3,JK Narva Trans
2025-10-05,Tallinna FCI Levadia,3:0,Tartu JK Tammeka
2025-10-05,Nõmme Kalju FC,1:0,Pärnu JK Vaprus
2025-10-18,FC Kuressaare,0:3,Tallinna FCI Levadia
2025-10-18,Paide Linnameeskond,5:0,Tartu JK Tammeka
2025-10-18,JK Narva Trans,1:1,Pärnu JK Vaprus
2025-10-18,Tallinna FC Flora,6:0,JK Tallinna Kalev
2025-10-19,Harju JK Laagri,1:3,Nõmme Kalju FC
2025-10-21,Tallinna FC Flora,4:0,JK Narva Trans
2025-10-21,Pärnu JK Vaprus,0:1,FC Kuressaare
2025-10-22,Tallinna FCI Levadia,1:2,Paide Linnameeskond
2025-10-22,JK Tallinna Kalev,0:2,Nõmme Kalju FC
2025-10-22,Harju JK Laagri,2:2,Tartu JK Tammeka
2025-10-25,FC Kuressaare,0:1,Nõmme Kalju FC
2025-10-25,Harju JK Laagri,1:0,JK Narva Trans
2025-10-25,Tartu JK Tammeka,5:2,JK Tallinna Kalev
2025-10-26,Paide Linnameeskond,1:1,Tallinna FC Flora
2025-10-26,Pärnu JK Vaprus,1:3,Tallinna FCI Levadia
2025-11-01,Tallinna FC Flora,2:0,FC Kuressaare
2025-11-02,Nõmme Kalju FC,2:1,Tartu JK Tammeka
2025-11-02,Harju JK Laagri,4:1,JK Tallinna Kalev
2025-11-02,Paide Linnameeskond,3:0,Pärnu JK Vaprus
2025-11-02,JK Narva Trans,0:4,Tallinna FCI Levadia
2025-11-08,Harju JK Laagri,2:2,Tallinna FCI Levadia
2025-11-08,Nõmme Kalju FC,1:1,Paide Linnameeskond
2025-11-08,Tartu JK Tammeka,2:0,JK Narva Trans
2025-11-08,Pärnu JK Vaprus,0:3,Tallinna FC Flora
2025-11-08,JK Tallinna Kalev,2:1,FC Kuressaare
